pais_codigo,pais,ano,valor
BRA,Brazil,2025,2.2857464902475
BRA,Brazil,2024,3.41931516501906
BRA,Brazil,2023,3.24165532906981
BRA,Brazil,2022,3.01669435393015
BRA,Brazil,2021,4.76260437908608
BRA,Brazil,2020,-3.2767587964736
BRA,Brazil,2019,1.22077782360842
BRA,Brazil,2018,1.783666761634
BRA,Brazil,2017,1.32286905404399
BRA,Brazil,2016,-3.27591690782192
BRA,Brazil,2015,-3.54576339269425
BRA,Brazil,2014,0.503955740242247
BRA,Brazil,2013,3.00482266944432
BRA,Brazil,2012,1.92117598576537
BRA,Brazil,2011,3.97442307944702
BRA,Brazil,2010,7.52822581815364
BRA,Brazil,2009,-0.125812002161169
BRA,Brazil,2008,5.09419544658736
BRA,Brazil,2007,6.06987060678338
BRA,Brazil,2006,3.96198871122617
BRA,Brazil,2005,3.20213206130431
BRA,Brazil,2004,5.75996463670954
BRA,Brazil,2003,1.14082899824888
BRA,Brazil,2002,3.05346185909312
BRA,Brazil,2001,1.38989640095637
BRA,Brazil,2000,4.38794944745618
BRA,Brazil,1999,0.467937566477133
BRA,Brazil,1998,0.338097901207306
BRA,Brazil,1997,3.39484598630671
BRA,Brazil,1996,2.20886405039022
BRA,Brazil,1995,4.22379363350413
BRA,Brazil,1994,5.85287036219013
BRA,Brazil,1993,4.9246900037071
BRA,Brazil,1992,-0.54407204977727
BRA,Brazil,1991,1.03218958549303
BRA,Brazil,1990,-4.35000000000022
BRA,Brazil,1989,3.16000000000032
BRA,Brazil,1988,-0.059999999999917
BRA,Brazil,1987,3.52999999999983
BRA,Brazil,1986,7.48999999999982
BRA,Brazil,1985,7.85000000000042
BRA,Brazil,1984,5.39999999999988
BRA,Brazil,1983,-2.92999999999996
BRA,Brazil,1982,0.829999999999529
BRA,Brazil,1981,-4.24999999999956
BRA,Brazil,1980,9.19999999999976
BRA,Brazil,1979,6.7595601220408
BRA,Brazil,1978,4.96989768924738
BRA,Brazil,1977,4.93432806978961
BRA,Brazil,1976,10.2571295347867
CHN,China,2025,4.95994886240992
CHN,China,2024,4.95830378788091
CHN,China,2023,5.41600334492955
CHN,China,2022,3.13385438394069
CHN,China,2021,8.57038414981781
CHN,China,2020,2.33950385203023
CHN,China,2019,6.06737806333672
CHN,China,2018,6.757806142324
CHN,China,2017,6.89123916636191
CHN,China,2016,6.7736886867727
CHN,China,2015,6.98162255562367
CHN,China,2014,7.46100735778161
CHN,China,2013,7.77842954757257
CHN,China,2012,7.8578201481217
CHN,China,2011,9.46205248298186
CHN,China,2010,10.5916903885704
CHN,China,2009,9.40610014336416
CHN,China,2008,9.66877608164454
CHN,China,2007,14.1507710506103
CHN,China,2006,12.6752842281595
CHN,China,2005,11.4535130030645
CHN,China,2004,10.1404291872206
CHN,China,2003,10.1138119025242
CHN,China,2002,9.23604870383861
CHN,China,2001,8.32404695347056
