pais_codigo,pais,ano,valor
BRA,Brazil,2025,10713.2856869511
BRA,Brazil,2024,10310.5486973693
BRA,Brazil,2023,10377.5892792557
BRA,Brazil,2022,9281.33334441234
BRA,Brazil,2021,7972.5366498646
BRA,Brazil,2020,7074.19378337644
BRA,Brazil,2019,9029.83326681073
BRA,Brazil,2018,9300.66164923219
BRA,Brazil,2017,10080.5092819305
BRA,Brazil,2016,8836.28652735657
BRA,Brazil,2015,8936.19661712113
BRA,Brazil,2014,12274.9939689363
BRA,Brazil,2013,12458.8912138813
BRA,Brazil,2012,12521.7213519966
BRA,Brazil,2011,13396.6243562986
BRA,Brazil,2010,11403.2821278747
BRA,Brazil,2009,8678.6592244676
BRA,Brazil,2008,8908.33176538648
BRA,Brazil,2007,7409.69130673473
BRA,Brazil,2006,5934.14470924968
BRA,Brazil,2005,4827.78173074714
BRA,Brazil,2004,3663.823188064
BRA,Brazil,2003,3090.6070097455
BRA,Brazil,2002,2855.94018885769
BRA,Brazil,2001,3176.28935747524
BRA,Brazil,2000,3766.54811466032
BRA,Brazil,1999,3493.57162513699
BRA,Brazil,1998,5105.89099544117
BRA,Brazil,1997,5299.39630404412
BRA,Brazil,1996,5179.13052002464
BRA,Brazil,1995,4756.74840785403
BRA,Brazil,1994,3298.71250747787
BRA,Brazil,1993,2348.88247685352
BRA,Brazil,1992,2127.31642731638
BRA,Brazil,1991,2257.6092968885
BRA,Brazil,1990,2581.14187449078
BRA,Brazil,1989,2818.99277980122
BRA,Brazil,1988,2140.65027561164
BRA,Brazil,1987,2006.00226235757
BRA,Brazil,1986,1854.03775211919
BRA,Brazil,1985,1556.1297180511
BRA,Brazil,1984,1419.73154606978
BRA,Brazil,1983,1461.25582714178
BRA,Brazil,1982,2137.6250359394
BRA,Brazil,1981,2079.70908377484
BRA,Brazil,1980,1958.57159232662
BRA,Brazil,1979,1869.7133759549
BRA,Brazil,1978,1732.50012204556
BRA,Brazil,1977,1562.29143045708
BRA,Brazil,1976,1389.74952306555
CHN,China,2025,13861.970224368
CHN,China,2024,13293.1162269366
CHN,China,2023,12951.1782397043
CHN,China,2022,12970.6056414327
CHN,China,2021,12887.4357242941
CHN,China,2020,10627.4637989619
CHN,China,2019,10342.9009524335
CHN,China,2018,10085.6638148819
CHN,China,2017,8979.67652709856
CHN,China,2016,8254.86859320357
CHN,China,2015,8175.33285077393
CHN,China,2014,7781.06597484974
CHN,China,2013,7147.03518622344
CHN,China,2012,6405.0574241349
CHN,China,2011,5703.76027973346
CHN,China,2010,4629.24551710077
CHN,China,2009,3898.24459158811
CHN,China,2008,3523.44302065213
CHN,China,2007,2734.72709877693
CHN,China,2006,2129.25696999613
CHN,China,2005,1777.64496828464
CHN,China,2004,1530.92726215723
CHN,China,2003,1306.97245408557
CHN,China,2002,1163.55957673426
CHN,China,2001,1065.40597574519
CHN,China,2000,969.199513696287
CHN,China,1999,881.146614068925
CHN,China,1998,835.095348597432
CHN,China,1997,786.743548510999
CHN,China,1996,713.337387811657
CHN,China,1995,612.680277898627
CHN,China,1994,475.677874448369
CHN,China,1993,378.939353053314
CHN,China,1992,367.822651903542
CHN,China,1991,334.130288119078
CHN,China,1990,318.50335359039
CHN,China,1989,311.429461227032
CHN,China,1988,284.023573149686
CHN,China,1987,252.256760114454
CHN,China,1986,282.445603096707
CHN,China,1985,295.007445815897
CHN,China,1984,251.192686463827
CHN,China,1983,225.86534696156
CHN,China,1982,203.722788366928
CHN,China,1981,197.425510967822
CHN,China,1980,195.149479992051
CHN,China,1979,184.285853059043
CHN,China,1978,156.655616850835
CHN,China,1977,185.728620718294
CHN,China,1976,165.680987722637
DEU,Germany,2025,60496.4350820414
DEU,Germany,2024,56103.7323182554
DEU,Germany,2023,54776.7668235491
DEU,Germany,2022,50506.5179638543
DEU,Germany,2021,52349.2459994422
DEU,Germany,2020,47394.8734504469
DEU,Germany,2019,47656.199739747
DEU,Germany,2018,48916.1686612154
DEU,Germany,2017,45553.9341495339
DEU,Germany,2016,42948.9381932694
DEU,Germany,2015,41929.7549110722
DEU,Germany,2014,48959.5991203133
DEU,Germany,2013,47206.8353514242
DEU,Germany,2012,44718.0159214069
DEU,Germany,2011,47630.9761883572
DEU,Germany,2010,42396.9665976293
DEU,Germany,2009,42471.8868625226
DEU,Germany,2008,46379.1647953479
DEU,Germany,2007,42350.9217211489
DEU,Germany,2006,36980.3349948954
DEU,Germany,2005,35084.4363546269
DEU,Germany,2004,34566.7359143735
DEU,Germany,2003,30711.1022511331
DEU,Germany,2002,25486.5942008748
DEU,Germany,2001,23878.3641471651
DEU,Germany,2000,23925.8559901991
DEU,Germany,1999,26965.4922773722
DEU,Germany,1998,27395.9440608051
DEU,Germany,1997,27046.9565464237
DEU,Germany,1996,30599.7891048363
DEU,Germany,1995,31747.2449398447
DEU,Germany,1994,27201.9593555204
DEU,Germany,1993,25616.6508772405
DEU,Germany,1992,26559.8543879632
DEU,Germany,1991,23443.3350818536
DEU,Germany,1990,22385.6778250275
DEU,Germany,1989,17829.4609524705
DEU,Germany,1988,17996.9783507619
DEU,Germany,1987,16738.6132825523
DEU,Germany,1986,13511.1520027486
DEU,Germany,1985,9464.11694710857
DEU,Germany,1984,9347.29068412377
DEU,Germany,1983,9900.48559233526
DEU,Germany,1982,9950.05926025365
DEU,Germany,1981,10246.4767623188
DEU,Germany,1980,12182.7800196802
DEU,Germany,1979,11322.3543443813
DEU,Germany,1978,9516.78283228907
DEU,Germany,1977,7711.10232025365
DEU,Germany,1976,6659.16546576017
FRA,France,2025,48985.7307807924
FRA,France,2024,46103.0840855884
FRA,France,2023,44700.1384177544
FRA,France,2022,40988.6396406579
FRA,France,2021,43725.0999521245
FRA,France,2020,39169.8606000707
FRA,France,2019,40408.2848574751
FRA,France,2018,41418.1766484844
FRA,France,2017,38687.1626407164
FRA,France,2016,37024.2157133669
FRA,France,2015,36702.4323733379
FRA,France,2014,43148.0459288416
FRA,France,2013,42669.1795111893
FRA,France,2012,40863.5814412333
FRA,France,2011,43929.7840873812
FRA,France,2010,40694.8211697025
FRA,France,2009,41728.0884164132
FRA,France,2008,45464.8181385158
FRA,France,2007,41486.1907828787
FRA,France,2006,36431.5658906555
FRA,France,2005,34696.3718316971
FRA,France,2004,33644.9282220364
FRA,France,2003,29479.5222101175
FRA,France,2002,24144.5727019529
FRA,France,2001,22331.7948343036
FRA,France,2000,22340.5939516217
FRA,France,1999,24576.3152254528
FRA,France,1998,24869.4030795939
FRA,France,1997,24169.4008102822
FRA,France,1996,26757.6351494145
FRA,France,1995,26791.8151982369
FRA,France,1994,23359.8985104774
FRA,France,1993,22238.8250618434
FRA,France,1992,23615.0168565483
FRA,France,1991,21500.7778366233
FRA,France,1990,21586.4674617483
FRA,France,1989,17547.2645422514
FRA,France,1988,17549.6440487161
FRA,France,1987,16175.7090467566
FRA,France,1986,13430.4824599685
FRA,France,1985,9657.01938533723
FRA,France,1984,9311.89426452129
FRA,France,1983,9862.28449386586
FRA,France,1982,10359.8920663549
FRA,France,1981,10955.9002996167
FRA,France,1980,12565.1639377144
FRA,France,1979,11062.5731730373
FRA,France,1978,9166.59011961391
FRA,France,1977,7458.76424117602
FRA,France,1976,6792.3099035538
GBR,United Kingdom,2025,57601.9621201954
GBR,United Kingdom,2024,53341.3131094262
GBR,United Kingdom,2023,49919.6896621586
GBR,United Kingdom,2022,47034.7795621476
GBR,United Kingdom,2021,47695.6491523474
GBR,United Kingdom,2020,40815.1255364787
GBR,United Kingdom,2019,43160.6843971799
GBR,United Kingdom,2018,43704.3162296687
GBR,United Kingdom,2017,40918.0520870944
GBR,United Kingdom,2016,41258.5374285695
GBR,United Kingdom,2015,45256.040227057
GBR,United Kingdom,2014,47746.9810645521
GBR,United Kingdom,2013,43607.6636827371
GBR,United Kingdom,2012,42688.3263728372
GBR,United Kingdom,2011,42295.9273835322
GBR,United Kingdom,2010,39778.3220528565
GBR,United Kingdom,2009,39009.3715547821
GBR,United Kingdom,2008,47652.4030691881
GBR,United Kingdom,2007,50629.0799172887
GBR,United Kingdom,2006,44695.161023424
GBR,United Kingdom,2005,42240.2462987547
GBR,United Kingdom,2004,40504.4118103928
GBR,United Kingdom,2003,34556.7726095905
GBR,United Kingdom,2002,30158.7017807858
GBR,United Kingdom,2001,28013.8729635508
GBR,United Kingdom,2000,28383.8761094996
GBR,United Kingdom,1999,28858.0065333126
GBR,United Kingdom,1998,28396.3523548013
GBR,United Kingdom,1997,26910.1381529902
GBR,United Kingdom,1996,24503.3829602903
GBR,United Kingdom,1995,23252.6157127423
GBR,United Kingdom,1994,19709.2380983653
GBR,United Kingdom,1993,18389.0195675099
GBR,United Kingdom,1992,20487.1707852878
GBR,United Kingdom,1991,19900.7266505069
GBR,United Kingdom,1990,19095.4669984608
GBR,United Kingdom,1989,16239.2821960944
GBR,United Kingdom,1988,15987.1680775688
GBR,United Kingdom,1987,13118.586534629
GBR,United Kingdom,1986,10611.112210096
GBR,United Kingdom,1985,8652.21654247593
GBR,United Kingdom,1984,8179.19444064991
GBR,United Kingdom,1983,8691.51881306514
GBR,United Kingdom,1982,9146.07735701852
GBR,United Kingdom,1981,9599.30622221965
GBR,United Kingdom,1980,10032.062080015
GBR,United Kingdom,1979,7804.76208051155
GBR,United Kingdom,1978,5976.93816899991
GBR,United Kingdom,1977,4681.43993173038
GBR,United Kingdom,1976,4138.16778761535
IND,India,2025,2702.47987141553
IND,India,2024,2591.9916607122
IND,India,2023,2434.44826340989
IND,India,2022,2279.98145719369
IND,India,2021,2239.61384367482
IND,India,2020,1907.04251637669
IND,India,2019,2041.42863698585
IND,India,2018,1966.25455171679
IND,India,2017,1950.10468280866
IND,India,2016,1707.50892912243
IND,India,2015,1583.99815907985
IND,India,2014,1553.88396075118
IND,India,2013,1432.84397512195
IND,India,2012,1429.32199520032
IND,India,2011,1445.46127486037
IND,India,2010,1347.51939071367
IND,India,2009,1094.94974598436
IND,India,2008,992.519584923828
IND,India,2007,1021.88707706826
IND,India,2006,801.668353659022
IND,India,2005,710.488080408949
IND,India,2004,624.258826510066
IND,India,2003,544.143133545002
IND,India,2002,469.149928973927
IND,India,2001,450.357900514128
IND,India,2000,442.750218937263
IND,India,1999,441.927991436397
IND,India,1998,413.630864056851
IND,India,1997,416.228116203753
IND,India,1996,401.046754673579
IND,India,1995,375.17600537305
IND,India,1994,347.73421473994
IND,India,1993,302.884806246174
IND,India,1992,319.182472626315
IND,India,1991,305.574055928592
IND,India,1990,371.085936203765
IND,India,1989,349.915155021864
IND,India,1988,358.484539641693
IND,India,1987,344.941028293075
